School,Place,Price,Price.with.aid,Pct.need,merit.aided,Earn,SAT,ACT,SAT.ACT,Public
Towson University,"Towson, MD",24700,15100,35,7,44600,1080,23,1080 / 23,1
Brandeis University,"Waltham, MA",65800,28700,51,6,45300,1350,30,1350 / 30,0
Illinois Wesleyan University,"Bloomington, IL",54800,30500,64,32,46400,1220,28,1220 / 28,0
Art Center College of Design,"Pasadena, CA",64400,47000,,,62000,1210,25,1210 / 25,0
San Diego State University,"San Diego, CA",27200,11000,43,5,47400,1090,24,1090 / 24,1
University of Oklahoma Norman Campus,"Norman, OK",24900,18300,30,13,48900,1160,26,1160 / 26,1
University of Dallas,"Irving, TX",52600,30000,60,36,45900,1210,27,1210 / 27,0
Gordon College,"Wenham, MA",48400,32100,70,30,42300,1150,26,1150 / 26,0
Haverford College,"Haverford, PA",66800,24400,49,,45500,1400,32,1400 / 32,0
Colorado State University-Fort Collins,"Fort Collins, CO",24500,15800,34,13,46200,1140,25,1140 / 25,1
University of Mary Washington,"Fredericksburg, VA",26100,18300,23,13,45400,1110,24,1110 / 24,1
Knox College,"Galesburg, IL",53200,25800,79,20,40700,1290,27,1290 / 27,0
Franciscan University of Steubenville,"Steubenville, OH",37000,27300,61,31,43600,1160,26,1160 / 26,0
Occidental College,"Los Angeles, CA",67400,35700,49,15,47700,1310,29,1310 / 29,0
Whitworth University,"Spokane, WA",52400,28400,69,27,42900,1280,27,1280 / 27,0
University of Houston,"Houston, TX",24000,13800,50,3,51500,1140,25,1140 / 25,1
Reed College,"Portland, OR",64400,20400,49,,45200,1380,31,1380 / 31,0
Wells College,"Aurora, NY",53100,23100,87,7,44200,1070,24,1070 / 24,0
Houghton College,"Houghton, NY",42300,24600,75,15,35200,1110,25,1110 / 25,0
Lewis & Clark College,"Portland, OR",60000,37000,59,28,42100,1280,29,1280 / 29,0
Oklahoma State University-Main Campus,"Stillwater, OK",22600,16100,40,29,46500,1120,25,1120 / 25,1
Westmont College,"Santa Barbara, CA",57800,35600,66,27,45100,1190,27,1190 / 27,0
Gallaudet University,"Washington, DC",35700,15300,86,3,39100,810,18,810 / 18,0
Tennessee Technological University,"Cookeville, TN",25100,14900,41,25,51400,1090,23,1090 / 23,1
Oberlin College,"Oberlin, OH",67000,42400,48,36,43300,1360,30,1360 / 30,0
University of Maryland-Baltimore County,"Baltimore, MD",26300,15400,40,14,50800,1210,27,1210 / 27,1
Rensselaer Polytechnic Institute,"Troy, NY",66800,39600,63,28,63700,1390,29,1390 / 29,0
Smith College,"Northampton, MA",64800,27900,59,4,42100,1360,29,1360 / 29,0
University of Pittsburgh-Pittsburgh Campus,"Pittsburgh, PA",34300,25600,38,3,51600,1260,28,1260 / 28,1
University of Maine at Presque Isle,"Presque Isle, ME",19100,11300,75,5,35673,1180,24,1180 / 24,1
Bryant University,"Smithfield, RI",57600,38200,48,25,51700,1140,25,1140 / 25,0
Illinois College,"Jacksonville, IL",42400,18400,84,16,38900,970,22,970 / 22,0
Bethel College-Indiana,"Mishawaka, IN",38200,19900,71,7,37000,1020,24,1020 / 24,0
Centre College,"Danville, KY",51400,27100,58,39,39600,1230,29,1230 / 29,0
Mississippi State University,"Mississippi State, MS",23500,16700,54,19,46100,1110,24,1110 / 24,1
Seattle Pacific University,"Seattle, WA",51600,29000,71,24,44900,1140,26,1140 / 26,0
Simmons College,"Boston, MA",56000,31400,77,20,48900,1150,26,1150 / 26,0
Ursinus College,"Collegeville, PA",63400,34300,72,23,44900,1170,27,1170 / 27,0
Augsburg College,"Minneapolis, MN",49100,20100,63,18,46500,1100,23,1100 / 23,0
John Carroll University,"University Heights, OH",52100,25200,72,18,45400,1090,25,1090 / 25,0
Lake Forest College,"Lake Forest, IL",55700,26700,,,46300,1130,26,1130 / 26,0
National University,"La Jolla, CA",29000,24000,19,,49200,1250,26,1250 / 26,1
The Evergreen State College,"Olympia, WA",23700,14900,55,,40100,1080,24,1080 / 24,1
Drake University,"Des Moines, IA",48200,29500,58,34,44700,1200,28,1200 / 28,0
Illinois State University,"Normal, IL",28100,17800,39,5,43500,1190,24,1190 / 24,1
Minnesota State University-Mankato,"Mankato, MN",19600,13600,39,4,45000,1110,22,1110 / 22,1
SUNY College at Geneseo,"Geneseo, NY",23700,17300,39,5,41300,1290,28,1290 / 28,1
The University of Tennessee,"Knoxville, TN",30600,19500,53,12,45700,1170,27,1170 / 27,1
SUNY at Fredonia,"Fredonia, NY",23400,17200,52,7,38900,1050,24,1050 / 24,1
Le Moyne College,"Syracuse, NY",48100,24200,83,7,41900,1080,24,1080 / 24,0
University of Scranton,"Scranton, PA",58900,36400,71,18,48400,1120,25,1120 / 25,0
Waynesburg University,"Waynesburg, PA",33900,19700,82,13,45200,1000,23,1000 / 23,1
Ripon College,"Ripon, WI",46700,22400,81,15,41100,1160,25,1160 / 25,0
Syracuse University,"Syracuse, NY",61700,32300,52,11,50600,1160,26,1160 / 26,0
Seattle University,"Seattle, WA",56900,37500,53,4,51200,1160,27,1160 / 27,0
Simpson College,"Indianola, IA",46800,23100,82,20,42800,1220,24,1220 / 24,0
Montclair State University,"Montclair, NJ",29500,16100,36,4,43700,970,18,970 / 18,1
College of the Ozarks,"Point Lookout, MO",29100,15400,92,7,36000,1030,23,1030 / 23,0
Saint Michael's College,"Colchester, VT",54300,31700,62,32,43800,1180,26,1180 / 26,0
Agnes Scott College,"Decatur, GA",50800,22200,78,22,41100,1210,25,1210 / 25,0
Albion College,"Albion, MI",51700,27100,73,28,45600,1100,25,1100 / 25,0
